tweets,label
"RT @zwkishi: Haven't draw yuzu that much but I want to join 😆

#ツイッターで楽しむ羽生結弦ファンアート展 https://t.co/7TVZmQR6T5",excitement
"RT @epollsurveys: Happy Friday everyone! 😀
#MotivationalQuotes #InspirationalQuotes #QuoteOfTheDay #FridayFeeling #HappyFriday #EPollSurvey…",excitement
"@FedExHelp Hi Lauryn! Luckily with some flattening my print turned out fine,so I do not need any further contact. However please try not to let this happen to anyone else in the future because there are packages with items that need cautious care!!! 

Thank you,and have a wonderful day! 😀",excitement
"@meakoopa My brother made me watch the entire series back to back when I was 4 😬 

I'm sure they're more funny/cheesy these days but I can't bring myself to watch them. Freddy was my recurring childhood nightmare for years.",excitement
@BeatsNdBang Undefeated! I’m tryna work with more color tho no lie but I love a glam ass eye so it be like 😬,excitement
https://t.co/gGh27aHNZY my Hero's in Music 🎹 🎶kick your heels high 😀 let hope thier is no one in front of you.  She's Beautiful n Awsome Entertainer look her up she will put a smile in your heart. Show some love n say hello to her💕 https://t.co/gCyOtSOgaW,excitement
"Tempted to change my dp.. Cute cute ni Fumi 😆 doki doki my hearteu 🤣

#FumiyaSankai 
@fumfumfum3",excitement
"Time to end this week's #FluorescenceFriday 😔

BUT, before the weekend arrives, enjoy this lattice light-sheet imaging with adaptive optics imaging of clathrin and dynamin2  in intestinal epithelial organoids! 😀

🔬 https://t.co/ZfCZ0R06T8 https://t.co/lkBuJnWZuK",excitement
"I'm so happy &amp; proud for Consti!!! 😀 🙌🏼 😍
He deserves it &amp; so much more! ❤️ 🍀 🔝 💪🏼 💯 🦅 🏔 🎿
#ConstantinSchmid #skijumping #qualificationwinner #RawAir2020 #Oslo

https://t.co/q2Aucx8jeJ",excitement
@isawthistoday1 Calm down.. this has absolutely nothing to do with a conversation between you and @afiercemind ... well maybe 😆,excitement
"@Carolinesnk @TearsOf10th 😔 ugh, really hope it works out soon for you! But at least for now there's still nothing new happening there 😬",excitement
"@batsdinah I can’t comment on BOP cause I haven’t seen it, but Nolan’s films were so amazing I just didn’t care how inaccurate they were 😆",excitement
"One main fault I have is calling he a she or she a he. Even if I've known the person all my life (brothers and sisters included). 
That tends to get aggravating; doesn't it? 
I just kick up heels and keep prodding until I get it right. 😆",excitement
"RT @softandprecise: ""Weird"" Gal Yanks-off-dick

Have a good weekend everyone! 😀",excitement
@k_ovfefe2 @Shem_Infinite @karaokemomo1 Not as much as I thought it would at first..Let the meme wars continue! 😆 https://t.co/u8uHOhncxW,excitement
"RT @WMAWP: WOW! We are so #excited to announce the return of the #WipAwards! Do you know a #WMP #Woman, officer or staff, so flippin' #awes…",excitement
Fun fact: I’ve never been to Chuck E. Cheese 😬,excitement
"RT @martinelefort1: Goodnight #friends #ff #new #ff on #Twitter and #animalsloves 

#so #much #love 🥰❤😀 https://t.co/LUDfEONJ1m",excitement
"@LaurieDominc Haha 😆 
Nice one Laurie 💩🤦🏼‍♀️",excitement
"These crackheads knocked both themselves out🤦‍♀️🤷‍♀️😂
#meme #memes #hilarious #repost #explorepage #explore #follow #followers #funny #worldstar #world #funnymemes #funnyposts #funnyvideos #imvu #bestmemes #amazing… https://t.co/WQPnaECvA2",excitement
@bleebyah Haha 😆 Yeah I don’t get that.  Probably!,excitement
"Siguro if I have an i pad rn tapos the skills of drawing stuffs, i would create  lots of webtoons pero ala eh hahahaha stick man level lang aquo 😆",excitement
"Alex went and found Izy... Wah! Damn! Sema tie up loose ends... 😀 I love it.

To the person who made me watch this thing... Thanks.",excitement
"RT @swo2212: What to say about the weather? 
I don't want to talk about! 😬
I hope that all of you have a better one! 💃👊😅 https://t.co/p72zq…",excitement
@PeakedOutPeach @AppalachiaHowie It's mostly the noise and banter I miss. 😆,excitement
"RT @AvaGG: New hair who dis? 

Repping @Pamaj #fknprfct 😀 https://t.co/74QPgAPR4R",excitement
@heymisssherre @Nickelback I’ll be at the Alpharetta show too! Can’t wait for it!! #Excited,excitement
RT @rk_18k: Ready for Miami ? #excited https://t.co/y9EYsfaEHx,excitement
Rudy is livid right now. He is furious at the refs and at Jordan Clarkson for not passing him the ball... 😬,excitement
Okay but why does Steve know where Woody Allen plays jazz though 😬,excitement
@Yuvraaaj_ Padhai kar exams h 😂 all the best,happy
@Scatteam_djr @raycondones @CondoneOrDie a news station in Toronto called cp24 😂 I did the most,happy
"RT @nursesarah79: Shop with me online!
https://t.co/D9nARRmZ8i

#love #shopping #Freeshipping #makeup #beauty #trendy #retailtherapy https:…",happy
