id,tweets,created_at
1236043578603966470,you ever moisturize one part of your body and then the other parts start to feel dehydrated so you have to end up doing your whole fucking body and then twenty minutes later you realize you missed the opening scenes to Scream 😠,Fri Mar 06 21:38:48 +0000 2020
1236043599814500353,🌍HAS THE CREW SELECTED 😠 TO EXCUSE ME FOR THIS DISCOUNT TOMORROW I WILL GIVE ALL THIS BEAUTY🌍 👍SORRY GUYS👍 https://t.co/EQYdcxNbiU,Fri Mar 06 21:38:53 +0000 2020
1236043676666564609,@bennessb I have to say that another doctor told me to ask them about it. 😠,Fri Mar 06 21:39:11 +0000 2020
1236043712674828288,RT @ANTOcarMOD: 🌍HAS THE CREW SELECTED 😠 TO EXCUSE ME FOR THIS DISCOUNT TOMORROW I WILL GIVE ALL THIS BEAUTY🌍 👍SORRY GUYS👍 https://t.co/EQY…,Fri Mar 06 21:39:20 +0000 2020
1236043763614707714,"@RightWingJewess @RedCross My husband, in the Air Force years ago, was sent on TDY to help with the cleanup after hurricane Camille. They worked long, hard hours under terrible circumstances. The Red Cross was there, too, with food and water-which the cleanup crews, incredibly, were required to pay for. 😠",Fri Mar 06 21:39:32 +0000 2020
1236043864944803840,@xnjckyiii In @FroddsWife 's voice.. She's a buffalo 😠,Fri Mar 06 21:39:56 +0000 2020
1236043901523410945,"waiting for my food, and i just want to fight these Jumia guys.  😠",Fri Mar 06 21:40:05 +0000 2020
1236043950579990528,$30 each. I literally wouldn’t have been mad at $1 from each like getting those checks back and seeing the tip line blank or with a crossed out zero was so sexy . 😠,Fri Mar 06 21:40:17 +0000 2020
1236044011447574529,RT @BringBackNatDex: I am not a crusty cringe. 😠 https://t.co/BYAMVcABEg,Fri Mar 06 21:40:31 +0000 2020
1236044065969487874,"@PurgaToriDk PurgaToriDk ?? THE OCCUPATION BY THE CRIMINALS TERRORISTES ! SENDED BY THE TURKS ! AND THE NGOS MAFIOZOS !! U CALL IT ""HUMAN DECENCY""?? 😠",Fri Mar 06 21:40:44 +0000 2020
1236044172597039111,.⁦@JZarif⁩ will you stop this outrageous behaviour? What is this??? 😠 #Coronavirus #CoronaVirusIran #corona #unwantedlove #rejection #notinpublic #badhygiene https://t.co/iWQO4hcuTR,Fri Mar 06 21:41:09 +0000 2020
1236044228955983873,RT @julieAn34464628: OMG what length will this🐍go to get in power 😠 People are dying and all he cares about is immigrants . Only because he…,Fri Mar 06 21:41:23 +0000 2020
1236044391988572162,"ㅤ
ㅤ    No no , we're not going to do that. Not even if you beg me ~ 💢
ㅤ",Fri Mar 06 21:42:02 +0000 2020
1236044397348892672,"RT @projecteviltwin: The nigga couldn’t take no more dick 😡
So I had to release on my own.... 💦

I fucked him STOOOPID! 🥴 

Nigga sounded l…",Fri Mar 06 21:42:03 +0000 2020
1236044402260422656,"@chrislhayes This is infuriating, and KellyAnne Conway is an ass. They have the #coronavirus in #WayneCountyPA, the county next to mine. They found out with their own test bc they haven’t received tests from govt. yet. I was there Tuesday and the week before. 😠",Fri Mar 06 21:42:04 +0000 2020
1236044417674379264,"@huntwatchuk It couldn’t have happened to a nicer … something rhyming with “hunt” 😠
#GottaLoveKarma",Fri Mar 06 21:42:08 +0000 2020
1236044497752121351,@MysterySolvent @KIPPSI1 😠 rump jr is a horrible human being...😳😳😳,Fri Mar 06 21:42:27 +0000 2020
1236044627985215490,"Dear @Vodacom 

I'm really disappointed in y'all. What's with the network today? I've bought a once-off day 1GB and I couldn't use it, because the network was completely shutted-down, almost for 6 hours... 😡😠 Meaning I've wasted my airtime in purchasing 😠 #BringBackMyAirtime",Fri Mar 06 21:42:58 +0000 2020
1236044638810787841,"RT @_fuego98: Drugs, ass, titties, the works pls. Not tryna see you lip sync to Elaine 😠",Fri Mar 06 21:43:01 +0000 2020
1236044647631372292,"Whelp, when i was suppose to be off round 5, i now gotta cover somebody til 8

I am goin to be a sassy lady for the last 3 hrs 😠",Fri Mar 06 21:43:03 +0000 2020
1236044653385912325,Where are the subway rats 😠 I came here to see a rat,Fri Mar 06 21:43:04 +0000 2020
1236044693793890305,that’s not how it looked before i tweeted it 😠,Fri Mar 06 21:43:14 +0000 2020
1236044716229177344,"@TheRickWilson Another Trump weekend at his resort, all paid for by hard working, pay check to pay check Americans.#pissed",Fri Mar 06 21:43:19 +0000 2020
1236044717990858755,@AlanDub13 A disgrace for people who rely on signs to understand 😠,Fri Mar 06 21:43:20 +0000 2020
1236044919837470721,@eurekafresh_ How I feel when they keep taking Nacho Fries away from me 😠,Fri Mar 06 21:44:08 +0000 2020
1236044932143558662,What’s the point in being thick if my man is too busy to be squished ??? 😠,Fri Mar 06 21:44:11 +0000 2020
1236045192173625345,"RT @SalFerrara10: OK! Now I'm Very Angry! 😠

@ParadisePony @KennethDay12 @202XAngry @JulieTirock https://t.co/SuauuLsp79",Fri Mar 06 21:45:13 +0000 2020
1236045285572448256,"@GlenJM @davechensky One of my wife's coworkers actually went up to her and told her not to ""talk to that Chinese lady"" (her friend at work who's Vietnamese) 😠",Fri Mar 06 21:45:35 +0000 2020
1236045306401259521,RT @denver_ash: @SaraCarterDC @MittRomney Obviously has something to hide!! 😠,Fri Mar 06 21:45:40 +0000 2020
1236045357731045376,"I should too , I still haven't forgot about him knocking me out with Ray's chair 😠",Fri Mar 06 21:45:52 +0000 2020
1236045394515234817,@WeirdchilldIV The noise of the actress are sometimes irritating 😠,Fri Mar 06 21:46:01 +0000 2020
1236045395953881089,@marklevinshow I don't trust this guy anymore. 😠,Fri Mar 06 21:46:01 +0000 2020
1236045454233800707,"@obianuju @OlaySkin You may not be calling for a boycott, but I know women who are already writing letters vowing to quit using the brand.
Just say 
#NoThanksIdRather not use @OlaySkin . It could make me as #angry as @BusyPhilipps .",Fri Mar 06 21:46:15 +0000 2020
1236045467726893056,@ceratopsidae Exactly why I hate how this process works 😠,Fri Mar 06 21:46:18 +0000 2020
1236045563461685253,@rogersndanvers @ACEcomiccon Omg noo that sucks!! and that’s so shady of them too 😠,Fri Mar 06 21:46:41 +0000 2020
1236045619376029696,"@accessbank_help Please you people should return my money as soon as possible, I make transfer of #3000 and was also deducted #1,900 while I never make any transfer of such 😠",Fri Mar 06 21:46:54 +0000 2020
1236045687810338822,"RT @PETAUK: This is so disturbing. 😠

FISH FEEL PAIN!
https://t.co/JSVtpx12aO",Fri Mar 06 21:47:11 +0000 2020
1236045717149347840,@Inevitable_ET I thought his assets were frozen 😠,Fri Mar 06 21:47:18 +0000 2020
1236045852348755968,note to self: dont look at your work mail during the weekend!! 😠,Fri Mar 06 21:47:50 +0000 2020
1236045865736957956,"@FlashWhite_ Im gonna eat the mean people. 
😠",Fri Mar 06 21:47:53 +0000 2020
1236045931155542017,"RT @onlyfanspromo3: 🔥🔥 @Daisy__Dee__ 🔥🔥

GET 30 DAYS FOR JUST $3 ❗️❗️

💢 20 y/o 💢
💢 Bisexual 💢
💢 Solo &amp; Couple Content 💢

👇👇👇👇👇👇👇👇👇

https:…",Fri Mar 06 21:48:09 +0000 2020
1236045934158639105,@MarianneSansum @MailOnline WTH is wrong with people today??... Do they ever put their brain into gear before opening their nasty mouths!!! 😠 What a thing to say... Unbelievably Outrageous!!!,Fri Mar 06 21:48:09 +0000 2020
1236046004702466048,RT @suppitweets: how do you mute a face 💢,Fri Mar 06 21:48:26 +0000 2020
