id,tweets,created_at
1236043548459274240,@buddyboi94 @deannamarsh751 @BrandonSunday23 And a new department joins the lineup. #Excited,Fri Mar 06 21:38:41 +0000 2020
1236043554788487168,RT @lilyachty: Just woke up bout to dive into @LILUZIVERT #goodday #excited,Fri Mar 06 21:38:42 +0000 2020
1236043596480106497,"It's : 2020-03-06T21:38:52.1734695Z 

#tuesdaymotivation #funny #pets #followme #f4f #c4c #shout #love #me #cute #like #rt #girl #guy #beautiful #look #amazing #style #colorful #ico #Walls #BestMusicVideo #iHeartAwards #BoyWithLuv",Fri Mar 06 21:38:52 +0000 2020
1236043643363852288,RT @AuthorAaronHowe: REMINDER: You deserve #Happiness and #Success !!! 😀,Fri Mar 06 21:39:03 +0000 2020
1236043662842368004,silverstein and four year strong tonight with my good pal @NYIFansForLife #amazing,Fri Mar 06 21:39:08 +0000 2020
1236043735991009283,"RT @KylieDoll69: Do you have some fantasies? Im here to make them real for you, so join me! #online #sexy #amazing

▶️https://t.co/UADYxut0…",Fri Mar 06 21:39:25 +0000 2020
1236043910109114376,"We live in a wonderful world that is full of beauty, charm and adventure. There is no end to the adventures we can have if only we seek them with our open eyes. 🌎
 #amazing https://t.co/yb01wUhC8A",Fri Mar 06 21:40:07 +0000 2020
1236044171024232453,"RT @EnjoyNature: Lake Tahoe and Sierra Nevada landscape in summer #California

#nature #amazing https://t.co/nBL2Qs7UU3",Fri Mar 06 21:41:09 +0000 2020
1236044188015263744,"RT @elitegirlslive: ╔╗╗🏆@elitegirlslive🏆 
╚╗╠╗╔╗╗╗╬╔╗╗╗╬.* 
╚╝╩║╚╝╚╝║╚╝╚╝╠ 
º☆TH£☆B£₷T☆º👍 
#Hot🔥 #Sexy🔥#Amazing🔥#EPGirls

❤️🌟❤️@AnahHabana…",Fri Mar 06 21:41:13 +0000 2020
1236044231434780674,"RT @TheHardDepot: ★ #FollowFriday★

★ Dont forget to follow the #amazing &amp; #sexy

••►💎@QueenKarma69💎

••►https://t.co/swXz9CoaWQ https://t.…",Fri Mar 06 21:41:24 +0000 2020
1236044469142614016,RT @TeamTalend: A heartfelt #ThankYou to #TeamTalend! Thank you for #inspiring and #amazing us. #Proud of all you do! Thinking of you on #E…,Fri Mar 06 21:42:20 +0000 2020
1236044637476962304,"Spread your wings and live your dream ✈️
 #amazing https://t.co/apGO6v8Jeu",Fri Mar 06 21:43:00 +0000 2020
1236045011462078465,RT @TheGroomNStyle: Try telling that to the millions of #women who’ve had #amazing success using the top 5 best anti-aging #moisturizers yo…,Fri Mar 06 21:44:29 +0000 2020
1236045187547348993,"Time to end this week's #FluorescenceFriday 😔

BUT, before the weekend arrives, enjoy this lattice light-sheet imaging with adaptive optics imaging of clathrin and dynamin2  in intestinal epithelial organoids! 😀

🔬 https://t.co/ZfCZ0R06T8 https://t.co/lkBuJnWZuK",Fri Mar 06 21:45:11 +0000 2020
1236045332867436544,"Found a friend! 🎶 Let's appreciate how large these are. Did you know there are currently two species alive today? Wow! 
#natureisawesome #amazing https://t.co/VT7xSCaQqb",Fri Mar 06 21:45:46 +0000 2020
1236045427742568449,RT @CapriFlats: Have you never been here? #walking #faro #Amazing #top #view #fortinipath #sea #sky #sunnydays https://t.co/XJmyAj2AA8,Fri Mar 06 21:46:09 +0000 2020
1236045526883332096,"Don't worry, be happy 💃🏻
 #amazing https://t.co/wR0wKksPW4",Fri Mar 06 21:46:32 +0000 2020
1236045600610758657,@TeacherMassa @FSDVikings He was so upset he didn’t win 😢 😆,Fri Mar 06 21:46:50 +0000 2020
1236045707645276160,#Bam #TruthMatters Thank u @POTUS u are #amazing! I thank #God for you!,Fri Mar 06 21:47:15 +0000 2020
1236045752608133120,One day left until yet another incredible and unforgetable experience to be lived. @CivEdWorkshop @FLEXAlumni  #EXCITED 😍,Fri Mar 06 21:47:26 +0000 2020
1236046256167886855,@Cernovich #amazing I hope and pray my wish to give every child everywhere around the world a chance at a solid education well into their adult lives one day becomes true too.,Fri Mar 06 21:49:26 +0000 2020
1236046365416992768,Go #Download the #KillaSwagSeason #RightNow https://t.co/7sji7XmWsQ This album is #Amazing,Fri Mar 06 21:49:52 +0000 2020
1236046640940630016,RT @Elisa72107906: The last grade level to compete today ⁦@DesertSageElem⁩ was 2nd grade. These are the #amazing finalists. Thank you to al…,Fri Mar 06 21:50:58 +0000 2020
1236046875737944065,"RT @jaingurug: #Amazing #beauty #nature
How much beauty is there in the world, I do not know the name of this creature? 🤔 🤗💕 https://t.co/K…",Fri Mar 06 21:51:54 +0000 2020
1236046943589150720,RT @Jennife03478970: #Amazing World 😍😍 https://t.co/nFKViWabRj,Fri Mar 06 21:52:10 +0000 2020
1236047012694458373,"RT @Amazingstuffguy: This is mesmerizing❤️

#ThursdayMotivation #art #amazing #Wow #amazingstuffguy https://t.co/Zf0DVJLgSI",Fri Mar 06 21:52:27 +0000 2020
1236047114188148736,"@Jambeanie I know, I like what I’ve heard too. I think the only time I’ve seen Pulp was at Glasto ‘94!! It’ll be fab to see him in a small venue, he’s great #excited 🤗",Fri Mar 06 21:52:51 +0000 2020
1236047168110292996,Adding the finishing touches to my #MIEExpert application this evening! #excited,Fri Mar 06 21:53:04 +0000 2020
1236047180747726849,RT @rk_18k: Ready for Miami ? #excited https://t.co/y9EYsfaEHx,Fri Mar 06 21:53:07 +0000 2020
1236047247235837953,"RT @RashadaWrites: Good evening friends! enjoy #amazing view #Scenery #Beach #nature
https://t.co/B01ADG2jot
Life is a series of natural an…",Fri Mar 06 21:53:23 +0000 2020
1236047403352014848,Easy tabletop access to surge-protected AC power outlets and USB charging ports  #tp #charger #amazing   https://t.co/lkth2cL04p https://t.co/EQbkHNwJpg,Fri Mar 06 21:54:00 +0000 2020
1236047410012581890,"RT @Jennife03478970: #Amazing world. 
Hey...Guys #Enjoy it. https://t.co/AaFGzwhSQS",Fri Mar 06 21:54:01 +0000 2020
1236047673058263044,"🔆offers?🔆
⚜️Looking for: ⚜️
🦋crow, owl, turtle, kangaroo, giraffe 🦋
🚨ngf if giftcard 🚨
🙃 = dm
😬 = add/Nty 
😔 = Nty 
🤷🏼‍♀️ = maybe 
#adoptmetrades https://t.co/xU0T8Ma660",Fri Mar 06 21:55:04 +0000 2020
1236048035865604096,"RT @NiceBoyKimo: Hong Kong Victoria harbour, city never sleeps.

#amazing #cityscape https://t.co/hnkMRpu7vy",Fri Mar 06 21:56:31 +0000 2020
1236048255961743362,Just spoke to Mum. The usual....did you take your pills? Mum:What day is it? Me:Friday. Mum:That’s funny coz I haven’t fried anything today #mum #love #dementia #humour #SheKnowsShesBeingFunny 😆❤️ #myheart,Fri Mar 06 21:57:23 +0000 2020
1236048294759018498,"👉Wow Aladdin Jr st South Side Theatre Academy was amazing. I am blown away by the talent these young people have. 
👉Toby Ward-Smith what a fantastic show 👍🎉
👉Highly recommend this fantastic theatre academy for children. 

#theatre #Amazing #actor https://t.co/Aqb08pWQ6X",Fri Mar 06 21:57:32 +0000 2020
1236048593108316160,The colors of Maui. #hawaii #maui #dusk #instamood #bmpcc4k #beautiful #places #bucketlist #amazing @ Maui https://t.co/MMIhlmS2rk,Fri Mar 06 21:58:43 +0000 2020
1236048637353918468,RT @ImagesByJonEvan: Art for the Walls! https://t.co/L5zcMOgwZz #photography #photograph #artistry #decor #decorate #design #amazing #artlo…,Fri Mar 06 21:58:54 +0000 2020
1236048770925764613,Omg ! It's a chick🐣Baby button_ 6 days old...unbelievable😍 #animallovers #chick #babypluto #tiny #cute #Amazing #sweet https://t.co/2cPlwYmDzV,Fri Mar 06 21:59:26 +0000 2020
1236048813460201472,"DIABETES TREATMENT 
https://t.co/tMJwIHQ4E7

#diabetes #treat #treatment #Doctors #healthy #healthylifestyle #GoodMorning #lucky #Instagram #Twitter #Trump #TikTok #Hollywood #Russia #IamNotAVirus #amazing #twitch #movies #night #people #photo #photography #like #Like4like #Tweet",Fri Mar 06 21:59:36 +0000 2020
1236048915721404416,"#Teenager Atticus finds himself in an explosive car chase and a deadly kidnapping plot.
#exciting #action #thriller #adventure #99p #99c #KIndle #KindleUnlimited #read
UK https://t.co/isxWgvt8ni
US https://t.co/bYqbBgLaOy https://t.co/0sPcYfWc85",Fri Mar 06 22:00:00 +0000 2020
1236048975754661888,"Okay maybe you didn't enjoy the rain this week that much. I hope you got some rest this week and are headed into the weekend with excitement! Happy Friday!!

📸: iStockPhoto
_
#beautiful #water #city #rainyweather  #umbrella #godisstillgood #excitement #peace #joy https://t.co/HeFyb54Rnq",Fri Mar 06 22:00:15 +0000 2020
1236049102183575552,"Crazy J -  My Black Rose  (Official Video) https://t.co/IJBBw73eOY
 #singer #artist #song #fun #newyork #life #happy #rock #guitar #nyc #musica #rnb #bands  #CrazyJ #Officalcrazyj #Upandcoming #StatenIsland #amazing #yes #goodmusic #song #guitar #rnb #songs #pop #new",Fri Mar 06 22:00:45 +0000 2020
1236049256701554688,"Sometimes there is no time to be afraid.
..
. .
#swag
.
.
.
#love #gainwithmchina #tweegram #photooftheday #20likes #amazing #smile #follow4follow #like4like #look #instalike #igers #picoftheday #food #instadaily… https://t.co/cacW3BA3eD",Fri Mar 06 22:01:22 +0000 2020
1236049472309940224,My name is Taylor Tomlinson and my special 'Quarter-Life Crisis' just dropped this week on Netflix. Ask me anything! #people #ama #amazing #interviews https://t.co/oXKcdCwVlV,Fri Mar 06 22:02:13 +0000 2020
1236049585451266049,"RT @MTLatexslut: Thank You! @mistresstess1 And @gynarchygoddess  For An #Amazing Filming Day!  🍆🕳
At The @oubliettefilms 

#LatexFetish #St…",Fri Mar 06 22:02:40 +0000 2020
1236049975437651970,"RT @News3LV: #AMAZING!!! 2-year-old Ella Rogers was born with spina bifida. Ella is in a wheelchair and now, thanks to Mattel, she has a Ba…",Fri Mar 06 22:04:13 +0000 2020
1236050179884756992,"Art for the Walls! https://t.co/nMa80EHJJd  #photography #photograph #artistry #decor #decorate #design #amazing #artlover #picoftheday #naturelovers #artlovers #landscapelovers #nature #followers #fineartamerica #artworks #art
#treelovers #florida #beach #ocean #sunrise https://t.co/29B4lYUKIY",Fri Mar 06 22:05:02 +0000 2020
1236050201862795264,RT @khuntoru: Eat dinner from now....😋😋😋😋😋　#happytime #eat #dinner #happy #phuket #yum #yummy #thailand #amazing #greatvilla #プーケット #タイランド…,Fri Mar 06 22:05:07 +0000 2020
1236050324886114306,"It’s getting real for my buyers and their brand new home! I love the smell of new construction in the morning!
.
.
.
#exceedinghomes #greenvalleyranch #oakwoodhomes #realtor #brandnew #newconstruction #newhome #excited #buyer #springmarket #framing #electrical #fastprogress … https://t.co/kKIQnh4o5U",Fri Mar 06 22:05:36 +0000 2020
1236050413343961094,"Grateful to have been invited to attend a fundraiser last night at the .ZACK Urban Ballroom for the 15th Annual Luminosity to benefit Aim High Achivers. This is an #amazing program. 

Article will be Ladue News.… https://t.co/I0T8fGE1fl",Fri Mar 06 22:05:57 +0000 2020
1236050442280411139,#RT @PATRICIAMADER18: Easy tabletop access to surge-protected AC power outlets and USB charging ports  #tp #charger #amazing   https://t.co/zqTNI5ap9j https://t.co/WdwiD0VWDd,Fri Mar 06 22:06:04 +0000 2020
1236050667178831872,"Goodnight  and we wish you 💚a wonderful weekend . We can't wait to be back with you on Monday. Don't forget ya, go green! 🌿🌴🍀💚 🐢🌳 😎
.
.
.
.
.
#green #amazing #national #geographic  #budva  #greenpeace… https://t.co/FkIOEIHfDa",Fri Mar 06 22:06:58 +0000 2020
1236050818316611585,"RT @WMAWP: WOW! We are so #excited to announce the return of the #WipAwards! Do you know a #WMP #Woman, officer or staff, so flippin' #awes…",Fri Mar 06 22:07:34 +0000 2020
1236050864223268867,"RT @TONWAR: @jonathansfrakes @SirPatStew @Marina_Sirtis #Picard #episode7
#amazing #startrek

So cool to see you all together again. 
There…",Fri Mar 06 22:07:45 +0000 2020
1236050945777295362,RT @CONTEMPRA_INN: #Enjoy Every Day! #Jump into your Day with #Joy and #Excitement just like #Dogs 💞🐶💞🐶💞 😍 via @77happyday @CONTEMPRA_INN🌹,Fri Mar 06 22:08:04 +0000 2020
1236050958922088448,RT @Elisa72107906: ⁦These are the #amazing ⁦@DesertSageElem⁩ Mandarin Speech Finalists. It has been an exciting day with many tie breakers.…,Fri Mar 06 22:08:07 +0000 2020
1236051018892394496,"RT @ErykaSphynx: I want to #taste me on your fingers! #online #excited #wild #sexy

▶️https://t.co/a7kqsCEVeA https://t.co/K8vjkJAvTL",Fri Mar 06 22:08:22 +0000 2020
1236051155794489345,"Collect moments, not things
 #amazing https://t.co/zszE7g6mzw",Fri Mar 06 22:08:54 +0000 2020
1236052005103099904,@MyToesInHose Oh WOW 🤩 There is that Beautiful Sexy Ass of yours. You are absolutely #Amazing 😍😘❤️,Fri Mar 06 22:12:17 +0000 2020
1236052180353851395,"Shyla has two new dildos and they make her really happy visit now, SOCIALMEDIACELEBS #social #media #celebs #socialmedia #socialmediacelebs https://t.co/tvEkJy5sck #amazing #dildo",Fri Mar 06 22:12:59 +0000 2020
1236052266353860612,Ya ALL got the WOAH 😨 funny 😆 scoop pop up shop. Playbook,Fri Mar 06 22:13:19 +0000 2020
1236052267490476034,@SportsCenter @wojespn Ooof snap the LeBron joakim Noah rivalry continues..#excited 👀,Fri Mar 06 22:13:19 +0000 2020
1236052774590152704,we have no choice but to stan this funny princess ✊🏻😆,Fri Mar 06 22:15:20 +0000 2020
1236052962297987072,"RT @PrachiMalik: #Joy is Portable! 
Carry joy wherever you go!
😀😀😀😀😀😀😀😀
#Joy #Kindness #Peace
#RainKindness
#JoyTrain https://t.co/VXGYFAG9…",Fri Mar 06 22:16:05 +0000 2020
1236053085077807105,RT @ImagesByJonEvan: Art for the Walls! https://t.co/nMa80EHJJd  #photography #photograph #artistry #decor #decorate #design #amazing #artl…,Fri Mar 06 22:16:34 +0000 2020
1236053376846237698,Here's a little sneak peak of chapter 1! Can't wait to be finished! #webcomics #manga #excited #webtoon #updates https://t.co/DL9xeOqqSk,Fri Mar 06 22:17:44 +0000 2020
1236053493661741057,"Sooo excited 😆 for Scentsy world tour 🌍
To celebrate, I will be holding a clearance party, Sun on my Facebook page!! Add it below and join me!
https://t.co/stcR851iDF
#IndependentScentsyConsultantUK #partyonsunday #clearanceparty #excited #sale #joinme #addmeonfacebook https://t.co/uOqfPCVtMI",Fri Mar 06 22:18:12 +0000 2020
1236053902681944064,"@Carolinesnk @TearsOf10th 😔 ugh, really hope it works out soon for you! But at least for now there's still nothing new happening there 😬",Fri Mar 06 22:19:49 +0000 2020
1236053907811340288,"RT @soumadoma1528: I love mother earth 😍😍
#rainbow #waterfalls #stunning #beautiful #Amazing #nature https://t.co/1xRQRC5IIj",Fri Mar 06 22:19:51 +0000 2020
1236053918620188673,"#cutcopypaste youtube @americanidol bobby.mcferrin #BobbyMcFerrin
#yogimichaelsfavoritethings #amazing 

https://t.co/fVM7tVFjpC @ American Idol at CBS Studios https://t.co/WmiN5eigYp",Fri Mar 06 22:19:53 +0000 2020
1236054016200589312,"#AuthorUproar 
#inspiration 
#WritingCommunity:
#writers
 #amazing  
#amreading 
#mustreads  
#spiritualawakening
#healing 
#books 
#sciencefiction 
#suspense
#BookBoost 
https://t.co/YSmapQlcgN 
1 hour to witness, 10 seconds to prove and his time is running out!
A #mustread https://t.co/U64fhBHvUb",Fri Mar 06 22:20:16 +0000 2020
1236054128691826688,"RT @metart_matiss: Today, the scene is amazing Nicole😍
ph: Matiss @metart_matiss 
#curlyhair #CurlyGirl #Amazing #today https://t.co/lfkpso…",Fri Mar 06 22:20:43 +0000 2020
1236054223953055749,I finally watched the new episode of #SmileDowntheRunway 😀🙌 its so inspiring 😊 Smile Down the Runway is one of my favorite anime series 😊👍 Thank you 🙏 @snoweyes @macyyyanne @LeahClarkVA @jadbsaxton @TrinaNishimura @CliffordChapin for letting me Watch the series 😭 https://t.co/DOAWzrMCEE,Fri Mar 06 22:21:06 +0000 2020
1236054302071721984,"RT @__lilalienboi: butt naked with the Polo dad hat on and smaller gauges in.

#excited https://t.co/o9rM4itGNS",Fri Mar 06 22:21:25 +0000 2020
1236054511136976904,Sometimes staying in the middle is the best place to be! #maybe #yes #no #beauty #likeforlikes #music #lifestyle #fitness #motivation #likes #faith #l #amazing #god  #goodvibes #instamood #love #likeforlike #inspiration #motivation #sun #kindness #good #repost #bestoftheday,Fri Mar 06 22:22:14 +0000 2020
1236054554208239616,"Friday mood 🤷
 #amazing https://t.co/k4IKYwZl7U",Fri Mar 06 22:22:25 +0000 2020
1236054786123984898,"Like and share if you think it`s fantastic!

 #gadgets #style #shop #shopping #amazing #choice #kids #fashion #f4f #dealstreetonline https://t.co/Fux0MffrVf",Fri Mar 06 22:23:20 +0000 2020
