id,tweets,created_at
1236043537415880707,"RT @GPsurvivors: Our sisters please distance yourselves from these guys 😔 

This happened at the Sandton Skye Apartments. Please help us fi…",Fri Mar 06 21:38:38 +0000 2020
1236043539743756288,@JeonsosunbobO nothing like us y strawberry and cigarrettes 😔,Fri Mar 06 21:38:39 +0000 2020
1236043540708372481,RT @cellabe_: being introverted is alright until you want someone to go out with. then you have zero options 😔,Fri Mar 06 21:38:39 +0000 2020
1236043541002031105,RT @Marayeeee: I just feel like everyone needs 2 see me in my lil uniform. 😭 https://t.co/4zCkkSDMWK,Fri Mar 06 21:38:39 +0000 2020
1236043542046183424,"RT @ikmison: I know the feeling, this is just so sad 😭 #WHYRUep7 https://t.co/Kwa8NDD8UE",Fri Mar 06 21:38:39 +0000 2020
1236043542805479424,@mehngifeminist I need vids so I can be there in spirit 😭,Fri Mar 06 21:38:39 +0000 2020
1236043546022621186,@_victoriaa19 Sis you playin w my feels on the timeline 😔,Fri Mar 06 21:38:40 +0000 2020
1236043546337202177,RT @POKOPIPO: isabelle checking up on me like 😔 https://t.co/nH5DH2JQc1,Fri Mar 06 21:38:40 +0000 2020
1236043547041828864,@RIP_LiLBill You asking the wrong person brother 😭 cuz I wanna know the same thing,Fri Mar 06 21:38:40 +0000 2020
1236043547767230464,"RT @CobbySeth: Yooo But rip to Castro, Ebony, Kofi B, daasebre and all the others that died wayyy before their time 😢",Fri Mar 06 21:38:41 +0000 2020
1236043549713588224,RT @ImCammyDubs: Lil Uzi just saved the world 😔,Fri Mar 06 21:38:41 +0000 2020
1236043551089229826,RT @gratefulsels: demi’s only chart account is quitting bye 😭,Fri Mar 06 21:38:41 +0000 2020
1236043552188182528,@bbylionlee I haven't listened to it yet 😭,Fri Mar 06 21:38:42 +0000 2020
1236043553954029569,"Pls y'all should stop proposing in public I'm tired of seeing all this drama, the lady might not be ready, the boo might not be the boo 😭 let's save ourselves from all these embarrassing moments.",Fri Mar 06 21:38:42 +0000 2020
1236043556789288966,RT @haikaiya: they finally saw the actual skytree 😭 https://t.co/2ap0ubyghZ,Fri Mar 06 21:38:43 +0000 2020
1236043556978073603,Ben gets frustrated so easily and is not up for joking around like he usually is. I think #EastEnders is trying to show that he is not coping at all and it breaks my heart 😭 #EastEnders #Ballum,Fri Mar 06 21:38:43 +0000 2020
1236043557263142912,RT @perfectvelvets: the way she's just throwing that ass 😭 seulgi please https://t.co/bu82fwqi1F,Fri Mar 06 21:38:43 +0000 2020
1236043558571978756,No more traveling while this virus is going around 😢,Fri Mar 06 21:38:43 +0000 2020
1236043558844592131,RT @Demetriushtx: this nigga richard jefferson asked “can i stay” 😭 https://t.co/Ik2TTtTw4E,Fri Mar 06 21:38:43 +0000 2020
1236043560618618882,RT @evieeion: all final fantasy games suck because square doesn’t give any of the characters fat asses end of discussion 😔,Fri Mar 06 21:38:44 +0000 2020
1236043563206684672,RT @DruePhoto: So I unfortunately lost all of these images 😢 but I did edit at least one! Hope y’all enjoy 😁 https://t.co/jczPlu2b6T,Fri Mar 06 21:38:44 +0000 2020
1236043563193888769,"due to an absolutely terrible haircut that had an 8 INCH DIFFERENCE between my top and bottom layers I had to sacrifice a year+ of growth to even it all out. RIP my long hair, for now 😢 gone but not forgotten https://t.co/c9dnLR9Td5",Fri Mar 06 21:38:44 +0000 2020
1236043565614223360,RT @playboixcarson: Now everybody wanna dislike Megan? 😭 y’all are so wishy washy.,Fri Mar 06 21:38:45 +0000 2020
1236043565769404417,RT @crystalziii: y’all just hate kylie jenner 😭,Fri Mar 06 21:38:45 +0000 2020
1236043566381756416,RT @tomstdatt: this is something that would happen to peter 😭 https://t.co/63udYbHYUU,Fri Mar 06 21:38:45 +0000 2020
1236043567715545089,RT @AnaisRassin12: gros fou rire grace a alizee 😭,Fri Mar 06 21:38:45 +0000 2020
1236043567874834437,RT @tiddybearjelly: changmin local 😔 https://t.co/TmsVzrRKp8,Fri Mar 06 21:38:45 +0000 2020
1236043568260800514,"RT @neocircus127: prayer circle before the charts close 😭

                 🕯     🕯
         🕯                    🕯
                   Kick…",Fri Mar 06 21:38:45 +0000 2020
1236043568264949761,RT @jacobhzn: we couldn't just have a pizza party without closing.. 😔 https://t.co/WxmulagXrB,Fri Mar 06 21:38:45 +0000 2020
1236043571637243905,Y’all are gonna kill me someday istg 😭 https://t.co/rkVG4hFeWY,Fri Mar 06 21:38:46 +0000 2020
1236043573302136833,RT @stussyjimin: jimin's eyes widened when his part in the mv came up 😭 https://t.co/zJerVFNL44,Fri Mar 06 21:38:47 +0000 2020
